order_id,user_id,age,city,order_time,day_type,cuisine,meal_type,restaurant_type,order_value,discount_applied,delivery_fee,time_taken_to_order,rating_given,is_repeat_order,mood,hunger_level,company,rainy_weather
1,2463,25,Chandigarh,Night,Weekday,Fast Food,Snacks,Mid-range,100,Yes,20,8,3,Yes,Lazy,Low,Partner,No
2,3683,32,Bangalore,Night,Weekday,Chinese,Dinner,Premium,999,Yes,61,9,3,No,Lazy,Medium,Partner,Yes
3,4266,31,Delhi,Night,Weekend,Fast Food,Lunch,Mid-range,854,No,70,9,3,Yes,Happy,High,Partner,No
4,4085,23,Bangalore,Evening,Weekday,Fast Food,Lunch,Mid-range,999,No,39,13,1,Yes,Celebrating,High,Friends,No
5,2694,35,Bangalore,Afternoon,Weekend,Chinese,Lunch,Mid-range,511,Yes,58,9,3,Yes,Lazy,High,Friends,No
6,1800,33,Mumbai,Morning,Weekday,Fast Food,Dinner,Premium,496,Yes,67,14,3,Yes,Happy,Medium,Alone,No
7,4393,34,Delhi,Morning,Weekday,Desserts,Snacks,Budget,456,Yes,23,6,5,Yes,Celebrating,Medium,Alone,No
8,2040,36,Delhi,Afternoon,Weekend,North Indian,Dinner,Premium,999,No,71,14,1,No,Celebrating,Medium,Alone,No
9,2114,31,Delhi,Evening,Weekday,South Indian,Dinner,Budget,247,No,26,9,2,No,Stressed,High,Family,No
10,1832,20,Bangalore,Night,Weekend,Chinese,Lunch,Budget,468,No,50,10,2,No,Stressed,High,Alone,Yes
11,4165,40,Chandigarh,Evening,Weekday,Fast Food,Lunch,Premium,856,Yes,72,11,4,Yes,Celebrating,Medium,Friends,No
12,1169,39,Delhi,Evening,Weekend,Chinese,Snacks,Mid-range,937,Yes,37,13,3,No,Lazy,High,Friends,No
13,3222,27,Hyderabad,Evening,Weekday,Fast Food,Lunch,Mid-range,937,Yes,65,10,5,Yes,Celebrating,Low,Partner,No
14,2131,36,Bangalore,Afternoon,Weekend,South Indian,Snacks,Budget,305,No,30,1,4,Yes,Lazy,High,Partner,No
15,3747,26,Mumbai,Night,Weekday,Biryani,Dinner,Mid-range,477,Yes,68,1,4,No,Happy,Medium,Friends,No
16,3433,44,Chandigarh,Evening,Weekday,South Indian,Breakfast,Budget,733,Yes,33,10,4,Yes,Happy,High,Partner,No
17,3396,38,Hyderabad,Afternoon,Weekday,Desserts,Breakfast,Mid-range,783,No,56,6,4,Yes,Happy,Medium,Family,No
18,3049,27,Hyderabad,Night,Weekday,Fast Food,Snacks,Budget,775,Yes,20,14,3,No,Happy,High,Alone,Yes
19,3776,30,Mumbai,Evening,Weekday,Fast Food,Dinner,Premium,325,Yes,68,10,3,No,Lazy,Low,Alone,No
20,2818,40,Chandigarh,Evening,Weekday,Desserts,Dinner,Mid-range,692,No,68,9,3,No,Happy,Medium,Family,No
21,1709,18,Bangalore,Evening,Weekday,Desserts,Dinner,Premium,519,No,75,12,1,No,Stressed,Low,Partner,No
22,2735,27,Pune,Evening,Weekday,Fast Food,Dinner,Premium,771,Yes,61,14,2,No,Lazy,Low,Friends,No
23,1084,19,Chandigarh,Afternoon,Weekend,Desserts,Snacks,Mid-range,494,Yes,36,8,4,Yes,Happy,Medium,Partner,No
24,4394,35,Mumbai,Night,Weekday,Chinese,Dinner,Premium,690,No,49,14,2,No,Lazy,Low,Friends,No
25,3431,40,Hyderabad,Night,Weekday,Desserts,Snacks,Budget,709,No,20,10,4,Yes,Happy,High,Partner,No
26,3099,19,Bangalore,Evening,Weekday,Chinese,Dinner,Mid-range,607,Yes,64,5,4,Yes,Stressed,Low,Friends,No
27,2194,31,Chandigarh,Evening,Weekday,Chinese,Dinner,Mid-range,582,No,69,11,1,No,Stressed,High,Friends,No
28,2660,22,Pune,Night,Weekday,Biryani,Lunch,Mid-range,597,No,63,13,1,No,Stressed,Medium,Alone,No
29,3664,18,Pune,Afternoon,Weekend,Desserts,Lunch,Budget,214,No,54,10,1,No,Stressed,Low,Alone,Yes
30,1385,22,Delhi,Night,Weekend,Desserts,Dinner,Mid-range,212,No,52,13,2,No,Lazy,High,Friends,No
31,2823,36,Delhi,Evening,Weekend,Fast Food,Dinner,Budget,621,Yes,59,5,3,No,Stressed,High,Family,Yes
32,4382,23,Mumbai,Evening,Weekday,North Indian,Snacks,Budget,847,No,36,11,1,No,Stressed,High,Family,No
33,3547,42,Chandigarh,Evening,Weekday,Chinese,Lunch,Budget,650,No,44,4,3,No,Stressed,High,Alone,No
34,1857,26,Chandigarh,Evening,Weekday,Chinese,Dinner,Premium,907,No,55,9,3,No,Celebrating,High,Alone,No
35,4425,30,Hyderabad,Morning,Weekend,Desserts,Dinner,Budget,450,Yes,27,5,3,No,Lazy,Low,Friends,No
36,2486,29,Hyderabad,Night,Weekend,Fast Food,Lunch,Mid-range,690,Yes,20,11,3,No,Happy,High,Alone,No
37,3349,29,Hyderabad,Evening,Weekend,Biryani,Breakfast,Budget,690,Yes,41,9,2,No,Stressed,High,Alone,Yes
38,2610,25,Delhi,Night,Weekday,North Indian,Snacks,Budget,745,No,29,4,3,Yes,Stressed,Low,Family,No
39,1712,29,Chandigarh,Afternoon,Weekday,Chinese,Lunch,Premium,857,Yes,53,4,5,Yes,Celebrating,High,Alone,No
40,3449,39,Chandigarh,Evening,Weekend,South Indian,Dinner,Mid-range,692,Yes,29,14,2,Yes,Stressed,High,Alone,No
41,1119,25,Pune,Night,Weekday,North Indian,Dinner,Mid-range,704,Yes,92,9,3,No,Celebrating,Medium,Friends,Yes
42,3971,32,Delhi,Night,Weekend,North Indian,Dinner,Budget,602,No,36,8,4,Yes,Happy,High,Partner,No
43,3087,20,Bangalore,Night,Weekday,North Indian,Lunch,Budget,100,Yes,37,8,3,Yes,Happy,Low,Alone,Yes
44,2538,42,Delhi,Night,Weekend,North Indian,Lunch,Budget,525,Yes,29,7,4,No,Stressed,Medium,Family,Yes
